python-api-challenge_final
City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,puerto santa,-8.9906,-78.6456,24.32,75,89,4.73,PE,1704735776
270,nurota,40.5614,65.6886,5.53,54,38,5.03,UZ,1704735776
271,walla walla,46.0646,-118.343,3.59,86,100,4.63,US,1704735776
272,kingston,17.997,-76.7936,32.36,59,20,1.54,JM,1704735315
273,fort bragg,35.139,-79.006,10.25,48,0,4.12,US,1704735777
274,nar'yan-mar,67.6713,53.087,-24.14,100,61,2.47,RU,1704735777
275,carnarvon,-24.8667,113.6333,22.72,82,0,7.87,AU,1704735778
276,nagato,34.3833,131.2,5.08,74,94,4.57,JP,1704735756
277,pandharpur,17.6667,75.3333,24.44,57,66,5.93,IN,1704735778
278,nagqu,31.5,92.0,-11.91,41,35,1.82,CN,1704735779
279,zhaotong,27.3167,103.7167,4.28,90,1,1.49,CN,1704735779
280,buritis,-15.6178,-46.4233,25.4,86,100,1.51,BR,1704735779
281,kayyerkan,69.3786,87.7439,-23.74,91,100,3.83,RU,1704735780
282,bharatpur,27.2167,77.4833,12.55,53,0,0.53,IN,1704735780
283,punta arenas,-53.15,-70.9167,14.01,62,75,11.83,CL,1704735657
284,haiku-pauwela,20.9219,-156.3051,23.01,83,100,8.75,US,1704735548
285,nizhniy odes,63.6445,54.856,-14.63,96,100,2.83,RU,1704735781
286,cole harbour,44.6724,-63.4751,-1.83,71,75,7.2,CA,1704735781
287,laojunmiao,39.8333,97.7333,-3.87,19,0,2.22,CN,1704735782
288,clodomira,-27.5744,-64.1311,35.52,42,34,2.58,AR,1704735783
289,happy valley-goose bay,53.3168,-60.3315,-9.83,67,75,9.26,CA,1704735540
290,pangai,-19.8,-174.35,27.06,89,40,3.6,TO,1704735784
291,kapit,2.0167,112.9333,22.76,100,83,0.37,MY,1704735784
292,ravar,31.2656,56.8055,9.57,23,1,0.88,IR,1704735785
293,aktau,43.65,51.2,2.32,81,93,7.7,KZ,1704735786
294,ancud,-41.8697,-73.8203,14.6,53,14,4.28,CL,1704735786
295,sao marcos,-28.9711,-51.0681,30.38,58,88,1.48,BR,1704735787
296,alexandroupoli,40.8475,25.8744,11.29,87,40,4.12,GR,1704735787
297,monteros,-27.1674,-65.4983,27.95,67,98,1.84,AR,1704735787
298,sittwe,20.15,92.9,19.44,57,2,5.2,MM,1704735788
299,mantua,45.1667,10.7833,8.58,88,90,0.89,IT,1704735788
300,al jawf,29.5,38.75,18.93,40,23,4.03,SA,1704735789
301,ar rutbah,33.0381,40.2848,14.78,59,100,3.44,IQ,1704735789
302,kabompo,-13.5927,24.2008,20.21,94,89,0.39,ZM,1704735790
303,holualoa,19.6228,-155.9522,19.93,76,0,1.54,US,1704735790
304,cambria,35.5641,-121.0808,11.14,53,3,0.45,US,1704735790
305,tafuna,-14.3358,-170.72,27.97,94,75,0.0,AS,1704735791
306,preobrazheniye,42.9019,133.9064,-6.68,83,100,3.97,RU,1704735792
307,cutral-co,-38.9469,-69.2089,23.84,10,0,3.58,AR,1704735793
308,kapa'a,22.0752,-159.319,22.18,89,100,5.14,US,1704735722
309,fuling,29.7022,107.3919,11.11,84,9,1.36,CN,1704735793
310,dudinka,69.4058,86.1778,-25.18,94,100,7.15,RU,1704735794
311,alappuzha,9.49,76.3264,25.84,87,93,2.19,IN,1704735794
312,vadso,70.0744,29.7487,-4.91,93,75,3.09,NO,1704735795
313,touros,-5.1989,-35.4608,30.11,61,1,4.61,BR,1704735628
314,greymouth,-42.4667,171.2,13.41,92,100,1.69,NZ,1704735796
315,zeya,53.75,127.2667,-28.25,94,19,2.3,RU,1704735796
316,abalak,58.1286,68.5944,-17.58,94,100,5.99,RU,1704735796
317,esquel,-42.9,-71.3167,18.68,28,30,4.7,AR,1704735529
318,kokopo,-4.352,152.2633,25.13,87,100,2.04,PG,1704735797
319,morondava,-20.2833,44.2833,28.52,77,100,3.82,MG,1704735798
320,zhangye,38.9342,100.4517,-3.12,37,0,2.45,CN,1704735798
321,kralendijk,12.15,-68.2667,29.99,66,20,8.23,BQ,1704735630
322,east end,34.5507,-92.341,7.72,84,99,0.45,US,1704735799
323,tamandare,-8.7597,-35.1047,30.09,61,20,6.67,BR,1704735691
324,acarau,-2.8856,-40.12,30.91,56,98,6.41,BR,1704735555
325,mukdahan,16.5833,104.5,20.3,83,25,1.16,TH,1704735801
326,dubovka,49.0583,44.829,-12.47,89,100,6.11,RU,1704735801
327,brigantine,39.4101,-74.3646,8.35,54,0,7.72,US,1704735802
328,wurtulla,-26.7568,153.1256,25.59,99,100,0.45,AU,1704735802
329,mossel bay,-34.1831,22.146,19.96,85,45,4.89,ZA,1704735803
